episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
431,400,44,44,-3.91,0.7953,0,1,32
432,400,26,26,-25.31,0.7948,0,1,32
433,400,38,40,-0.66,0.7943,0,1,32
434,400,37,37,-18.01,0.7938,0,1,32
435,400,34,34,-16.91,0.7934,0,1,32
436,400,38,38,-7.56,0.7929,0,1,32
437,400,32,32,-22.96,0.7924,0,1,32
438,400,37,37,-16.01,0.792,0,1,32
439,400,37,37,-15.36,0.7915,0,1,32
440,400,36,36,-17.91,0.791,0,1,32
441,400,30,30,-24.01,0.7905,0,1,32
442,400,32,32,-23.56,0.7901,0,1,32
443,400,37,37,-16.36,0.7896,0,1,32
444,400,29,29,-28.51,0.7891,0,1,32
445,400,24,24,-28.86,0.7886,0,1,32
446,400,40,40,-14.56,0.7882,0,1,32
447,400,40,40,-14.61,0.7877,0,1,32
448,400,43,43,-13.96,0.7872,0,1,32
449,400,36,36,-14.21,0.7867,0,1,32
450,400,41,41,-7.11,0.7863,0,1,32
451,400,32,32,-12.96,0.7858,0,1,32
452,400,33,33,-18.26,0.7853,0,1,32
453,400,32,32,-13.11,0.7848,0,1,32
454,400,45,45,-4.51,0.7843,0,1,32
455,400,49,49,3.79,0.7839,0,1,32
456,400,34,34,-10.06,0.7834,0,1,32
457,400,48,48,2.39,0.7829,0,1,32
458,400,45,45,-7.41,0.7824,0,1,32
459,400,39,39,-9.96,0.782,0,1,32
460,400,38,38,-13.91,0.7815,0,1,32
461,400,32,32,-16.61,0.781,0,1,32
462,400,38,38,-15.81,0.7805,0,1,32
463,400,35,35,-16.71,0.7801,0,1,32
464,400,43,43,-13.66,0.7796,0,1,32
465,400,44,44,-4.16,0.7791,0,1,32
466,400,38,38,-13.91,0.7787,0,1,32
467,400,36,36,-15.36,0.7782,0,1,32
468,400,39,39,-9.96,0.7777,0,1,32
469,400,40,40,-16.11,0.7772,0,1,32
470,400,30,30,-16.21,0.7768,0,1,32
