episode,coins_collected,total_reward,epsilon
507,0,-3.0,0.969896875
508,0,-7.0,0.9698375
509,0,-1.0,0.969778125
510,1,-1.0,0.96971875
511,0,-6.0,0.969659375
512,1,-7.0,0.9696
513,0,-3.0,0.969540625
514,1,-6.0,0.96948125
515,1,-16.0,0.969421875
516,2,-5.0,0.9693625
517,0,-5.0,0.969303125
518,4,-6.0,0.96924375
519,3,-10.0,0.969184375
520,0,-6.0,0.969125
521,1,-1.0,0.969065625
522,1,-2.0,0.96900625
523,1,-13.0,0.968946875
524,1,-3.0,0.9688875
525,0,-2.0,0.968828125
526,2,-8.0,0.96876875
527,1,-3.0,0.968709375
528,3,1.0,0.96865
529,0,-2.0,0.968590625
530,1,-1.0,0.96853125
531,0,0.0,0.968471875
532,1,-5.0,0.9684125
533,2,-13.0,0.968353125
534,0,-2.0,0.96829375
535,0,-1.0,0.968234375
536,1,-1.0,0.968175
537,1,-1.0,0.968115625
538,0,-5.0,0.96805625
539,0,-3.0,0.967996875
540,0,-7.0,0.9679375
541,1,-3.0,0.967878125
542,0,-6.0,0.96781875
543,2,-3.0,0.967759375
544,2,-4.0,0.9677
545,1,-2.0,0.967640625
546,0,-4.0,0.96758125
547,1,-2.0,0.967521875
548,0,-4.0,0.9674625
549,2,-3.0,0.967403125
550,2,0.0,0.96734375
551,0,-1.0,0.967284375
552,2,-15.0,0.967225
553,2,-1.0,0.967165625
554,1,-7.0,0.9671062500000001
555,1,-4.0,0.967046875
556,2,-9.0,0.9669875
557,0,-4.0,0.966928125
558,1,-2.0,0.9668687499999999
559,1,0.0,0.966809375
560,0,-1.0,0.96675
561,0,-5.0,0.966690625
562,0,-1.0,0.96663125
563,0,-4.0,0.966571875
564,0,-6.0,0.9665125
565,2,0.0,0.966453125
566,1,-3.0,0.96639375
567,0,-3.0,0.966334375
568,0,-7.0,0.966275
569,2,0.0,0.966215625
570,1,-4.0,0.96615625
571,0,-2.0,0.966096875
572,1,0.0,0.9660375
573,0,-2.0,0.965978125
574,1,-6.0,0.96591875
575,0,-4.0,0.965859375
576,0,-3.0,0.9658
577,2,-3.0,0.965740625
578,0,-5.0,0.96568125
579,0,-4.0,0.965621875
580,0,-2.0,0.9655625
581,2,-1.0,0.965503125
582,4,-2.0,0.96544375
583,2,1.0,0.965384375
584,0,-7.0,0.965325
585,1,-4.0,0.965265625
586,3,-2.0,0.96520625
587,2,-7.0,0.965146875
588,0,-2.0,0.9650875
589,2,-13.0,0.965028125
590,2,-6.0,0.96496875
591,4,-1.0,0.964909375
592,0,-3.0,0.96485
593,2,-14.0,0.964790625
594,1,-4.0,0.96473125
595,0,-2.0,0.964671875
596,2,-3.0,0.9646125
597,0,-4.0,0.964553125
598,1,-2.0,0.96449375
599,1,-2.0,0.964434375
600,0,-3.0,0.964375
601,0,-2.0,0.964315625
602,1,-2.0,0.96425625
603,1,-5.0,0.964196875
604,3,-5.0,0.9641375
605,1,-3.0,0.964078125
606,1,-3.0,0.96401875
607,2,-4.0,0.963959375
608,0,-2.0,0.9639
609,4,-3.0,0.963840625
610,0,-4.0,0.96378125
611,2,-7.0,0.9637218750000001
612,1,-1.0,0.9636625
613,2,-1.0,0.963603125
614,0,-4.0,0.96354375
615,0,-3.0,0.963484375
616,2,-2.0,0.963425
617,0,-1.0,0.963365625
618,1,-1.0,0.96330625
619,2,-10.0,0.9632468750000001
620,1,-2.0,0.9631875
621,1,-2.0,0.963128125
622,1,-4.0,0.96306875
623,2,-1.0,0.963009375
624,0,-4.0,0.96295
625,1,-3.0,0.962890625
626,0,-2.0,0.96283125
627,0,-12.0,0.962771875
628,1,-1.0,0.9627125
629,0,-2.0,0.962653125
630,1,-1.0,0.96259375
631,0,-15.0,0.962534375
632,1,-2.0,0.962475
633,3,-3.0,0.962415625
634,1,-1.0,0.96235625
635,0,-6.0,0.962296875
636,1,-1.0,0.9622375
637,0,-7.0,0.962178125
638,0,-6.0,0.96211875
639,0,-3.0,0.962059375
640,1,-5.0,0.962
641,2,-6.0,0.961940625
642,2,0.0,0.96188125
643,0,-3.0,0.961821875
644,1,-2.0,0.9617625
645,0,-6.0,0.961703125
646,4,-6.0,0.96164375
647,0,-5.0,0.961584375
648,3,-3.0,0.961525
649,2,-6.0,0.961465625
650,1,-4.0,0.96140625
651,1,-5.0,0.961346875
652,0,-3.0,0.9612875
653,1,0.0,0.961228125
654,0,-3.0,0.96116875
655,0,-3.0,0.961109375
656,1,-4.0,0.96105
657,0,-5.0,0.960990625
658,1,-1.0,0.96093125
659,1,-3.0,0.960871875
660,0,-3.0,0.9608125
661,1,-10.0,0.960753125
662,0,-2.0,0.96069375
663,0,-4.0,0.960634375
664,2,2.0,0.960575
665,0,-6.0,0.960515625
666,0,-4.0,0.96045625
667,2,-2.0,0.960396875
668,1,-4.0,0.9603375
669,1,-10.0,0.960278125
670,2,-2.0,0.96021875
671,3,-3.0,0.960159375
672,1,-8.0,0.9601
673,2,2.0,0.960040625
674,0,-8.0,0.95998125
675,0,-3.0,0.959921875
676,0,0.0,0.9598625
677,0,-2.0,0.959803125
678,0,-1.0,0.95974375
679,1,-2.0,0.959684375
680,0,-1.0,0.959625
681,1,-3.0,0.959565625
682,1,-2.0,0.95950625
683,1,-1.0,0.959446875
684,4,2.0,0.9593875
685,0,-1.0,0.959328125
686,2,-8.0,0.95926875
687,0,-2.0,0.959209375
688,3,-3.0,0.95915
689,0,-10.0,0.959090625
690,0,-5.0,0.95903125
691,1,-2.0,0.958971875
692,2,-1.0,0.9589125000000001
693,1,-4.0,0.958853125
694,2,-3.0,0.95879375
695,2,-4.0,0.958734375
696,1,-4.0,0.958675
697,0,-4.0,0.958615625
698,2,-7.0,0.95855625
699,0,-1.0,0.958496875
700,0,-4.0,0.9584375
701,0,-3.0,0.958378125
702,0,-2.0,0.95831875
703,1,0.0,0.958259375
704,0,-1.0,0.9582
705,1,-6.0,0.958140625
706,0,-5.0,0.95808125
707,1,-1.0,0.958021875
708,0,-1.0,0.9579625
709,5,-3.0,0.957903125
710,5,-3.0,0.95784375
711,1,-5.0,0.957784375
712,2,-6.0,0.957725
713,1,-4.0,0.957665625
714,0,-3.0,0.95760625
715,3,-2.0,0.957546875
716,0,-2.0,0.9574875
717,0,-3.0,0.957428125
718,0,-7.0,0.95736875
719,0,-3.0,0.957309375
720,2,-3.0,0.95725
721,1,-2.0,0.957190625
722,3,-2.0,0.95713125
723,0,-3.0,0.957071875
724,1,-6.0,0.9570125
725,3,-1.0,0.956953125
726,0,-4.0,0.95689375
727,6,-2.0,0.956834375
728,2,-3.0,0.956775
729,0,-1.0,0.956715625
730,3,-4.0,0.95665625
731,1,-2.0,0.956596875
732,0,-3.0,0.9565375
733,3,1.0,0.956478125
734,0,-4.0,0.95641875
735,0,-2.0,0.956359375
736,1,0.0,0.9563
737,1,-3.0,0.956240625
738,1,0.0,0.95618125
739,1,-2.0,0.956121875
740,5,-5.0,0.9560625
741,0,-2.0,0.956003125
742,2,1.0,0.95594375
743,0,-3.0,0.955884375
744,0,-1.0,0.955825
745,0,-7.0,0.955765625
746,0,-2.0,0.95570625
747,2,-2.0,0.955646875
748,0,-5.0,0.9555875
749,2,1.0,0.955528125
750,0,-5.0,0.95546875
751,1,0.0,0.955409375
752,0,-7.0,0.95535
753,1,-2.0,0.955290625
754,0,-4.0,0.95523125
755,2,-2.0,0.955171875
756,1,-2.0,0.9551125
757,1,-3.0,0.9550531250000001
758,0,-5.0,0.95499375
759,1,0.0,0.954934375
760,0,-3.0,0.954875
761,0,-10.0,0.954815625
762,2,-3.0,0.95475625
763,2,-2.0,0.954696875
764,1,0.0,0.9546375
765,1,-3.0,0.954578125
