episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
72,0,2,0,-15.11357142857143,0.9430000000000001,678
73,0,2,0,-24.52964285714286,0.9422083333333333,698
74,0,4,0,-9.651666666666667,0.9414166666666667,703
75,0,1,0,-25.77238095238095,0.940625,720
76,0,2,0,-19.863809523809522,0.9398333333333333,732
77,0,4,0,-21.867142857142856,0.9390416666666667,753
78,0,2,0,-21.09880952380952,0.93825,764
79,0,3,0,-30.884880952380954,0.9374583333333333,794
80,0,1,0,-19.93107142857143,0.9366666666666666,802
81,0,3,0,-12.643809523809525,0.935875,811
82,0,2,0,-15.117142857142856,0.9350833333333334,818
83,0,3,0,-11.198333333333334,0.9342916666666666,823
84,0,3,0,-14.582142857142857,0.9335,831
85,0,3,0,-16.343809523809526,0.9327083333333334,840
86,0,4,0,-25.357142857142858,0.9319166666666667,864
87,0,6,0,-24.96630952380952,0.931125,889
88,0,3,0,-14.107142857142858,0.9303333333333333,896
89,0,3,0,-15.813571428571429,0.9295416666666667,903
90,0,3,0,-12.094642857142857,0.92875,912
91,0,2,0,-17.41464285714286,0.9279583333333333,923
92,0,2,0,-18.557142857142857,0.9271666666666667,933
93,0,4,0,-10.207142857142857,0.926375,940
94,0,3,0,-20.88214285714286,0.9255833333333333,955
95,0,3,0,-14.154642857142857,0.9247916666666667,963
96,0,1,0,-21.529642857142857,0.924,973
97,0,3,0,-18.763809523809524,0.9232083333333333,985
98,0,2,0,-13.803333333333333,0.9224166666666667,990
99,0,2,0,-16.772142857142857,0.921625,999
100,0,2,0,-14.682142857142857,0.9208333333333334,1007
101,0,1,0,-13.863333333333333,0.9200416666666666,1013
102,0,3,0,-16.019642857142856,0.91925,1022
103,0,2,0,-15.957142857142857,0.9184583333333334,1031
104,0,2,0,-12.85,0.9176666666666666,1037
105,0,2,0,-23.493809523809524,0.916875,1049
106,0,3,0,-14.633809523809525,0.9160833333333334,1061
107,0,2,0,-13.217142857142857,0.9152916666666666,1068
108,0,2,0,-17.432142857142857,0.9145,1078
109,0,3,0,-15.868809523809524,0.9137083333333333,1086
110,0,3,0,-19.507380952380952,0.9129166666666667,1103
111,0,3,0,-17.34654761904762,0.912125,1116
112,0,4,0,-13.467142857142857,0.9113333333333333,1126
113,0,3,0,-16.063809523809525,0.9105416666666667,1134
114,0,4,0,-8.751666666666667,0.9097500000000001,1139
115,0,2,0,-12.85,0.9089583333333333,1145
116,0,5,0,-33.892380952380954,0.9081666666666667,1184
117,0,4,0,-12.263809523809524,0.907375,1192
