episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
132,400,27,27,-29.25,0.9373,0,1,32,1.37787,1.96753,1.37961,2.31078,1.82815,0.0
133,400,18,18,-42.25,0.9368,0,1,32,1.47187,1.96221,1.50351,2.26867,1.92688,0.0
134,400,22,22,-41.0,0.9364,0,1,32,1.37861,1.86787,1.36106,2.01042,1.81611,0.0
135,400,20,20,-45.35,0.9359,0,1,32,1.33696,1.87068,1.33239,1.9757,1.79046,0.0
136,400,23,23,-38.6,0.9354,0,1,32,1.29833,1.90795,1.296,1.94937,1.75106,0.0
137,400,25,25,-41.6,0.9349,0,1,32,1.28937,1.91347,1.32243,1.97802,1.76818,0.0
138,400,16,16,-43.45,0.9345,0,1,32,1.34783,1.91182,1.34796,2.1684,1.84683,0.0
139,400,22,22,-37.8,0.934,0,1,32,1.42536,1.97313,1.39836,2.05747,1.86126,0.0
140,400,18,18,-54.75,0.9335,0,1,32,1.34102,2.0127,1.31873,2.05139,1.79815,0.0
141,400,24,24,-34.55,0.933,0,1,32,1.3399,2.00147,1.32773,2.09066,1.80616,0.0
142,400,32,32,-25.75,0.9325,0,1,32,1.35621,1.94912,1.33731,2.04017,1.8202,0.0
143,400,29,29,-25.55,0.9321,0,1,32,1.41641,1.9765,1.37331,2.29739,1.86397,0.0
144,400,14,14,-42.0,0.9316,0,1,32,1.40341,1.9687,1.38306,2.04028,1.85487,0.0
145,400,26,26,-37.2,0.9311,0,1,32,1.34355,1.90819,1.42102,2.20061,1.87812,0.0
146,400,18,18,-46.3,0.9306,0,1,32,1.36931,1.9176,1.41211,2.07822,1.86502,0.0
147,400,24,24,-31.35,0.9302,0,1,32,1.38893,1.85148,1.40872,2.14137,1.85537,0.0
148,400,20,20,-42.75,0.9297,0,1,32,1.39523,1.88117,1.38534,2.04034,1.8426,0.0
149,400,22,22,-44.0,0.9292,0,1,32,1.367,1.88329,1.36224,1.99864,1.83062,0.0
150,400,22,22,-35.3,0.9287,0,1,32,1.37397,1.93565,1.35306,1.84944,1.81253,0.0
151,400,15,15,-42.8,0.9283,0,1,32,1.40655,2.04905,1.42918,2.23835,1.82082,0.0
152,400,25,25,-27.4,0.9278,0,1,32,1.45453,1.9534,1.45958,2.21744,1.91719,0.0
153,400,17,17,-48.95,0.9273,0,1,32,1.46554,1.99386,1.46483,2.29705,1.91719,0.0
154,400,20,20,-38.35,0.9268,0,1,32,1.50273,2.00909,1.50245,2.22812,1.98071,0.0
155,400,28,28,-27.3,0.9264,0,1,32,1.60034,2.01557,1.57929,2.46782,2.0913,0.0
156,400,22,22,-40.95,0.9259,0,1,32,1.63698,2.03665,1.63684,2.38902,2.0858,0.0
157,400,24,24,-30.75,0.9254,0,1,32,1.55448,1.97996,1.57399,2.04668,1.83416,0.0
158,400,21,21,-55.5,0.925,0,1,32,1.38576,2.01014,1.38444,2.1129,1.81171,0.0
159,400,22,22,-40.65,0.9245,0,1,32,1.3653,2.00871,1.36685,1.99929,1.8012,0.0
160,400,23,23,-42.25,0.924,0,1,32,1.14222,1.96299,1.30603,1.96322,1.7533,0.0
161,400,13,13,-60.3,0.9235,0,1,32,1.21178,1.85702,1.22774,1.92559,1.69096,0.0
162,400,27,27,-37.45,0.9231,0,1,32,1.27975,1.80453,1.29711,2.03747,1.73085,0.0
163,400,25,26,-28.95,0.9226,0,1,32,1.35362,1.8712,1.33399,1.99149,1.76995,0.0
164,400,14,14,-54.5,0.9221,0,1,32,1.32866,1.86955,1.2991,1.99211,1.73865,0.0
165,400,23,23,-44.35,0.9216,0,1,32,1.24901,1.87503,1.26981,1.92611,1.72616,0.0
166,400,27,27,-37.3,0.9212,0,1,32,1.29706,1.93342,1.28152,2.08253,1.75542,0.0
167,400,17,17,-45.5,0.9207,0,1,32,1.30171,1.90761,1.28152,1.99231,1.75133,0.0
168,400,22,22,-33.8,0.9202,0,1,32,1.37982,1.96244,1.37486,1.93181,1.82641,0.0
169,400,13,13,-42.8,0.9197,0,1,32,1.34778,1.93286,1.36775,2.09447,1.80426,0.0
170,400,17,17,-52.6,0.9193,0,1,32,1.35442,1.94427,1.34798,2.02604,1.80957,0.0
171,400,34,34,-12.55,0.9188,0,1,32,1.39906,1.9664,1.41515,2.09167,1.86556,0.0
172,400,27,27,-32.15,0.9183,0,1,32,1.43371,2.00177,1.44141,2.2103,1.88955,0.0
173,400,26,26,-40.35,0.9178,0,1,32,1.4606,2.01446,1.47727,2.28239,1.91563,0.0
174,400,23,23,-43.75,0.9173,0,1,32,1.52834,2.03153,1.50117,2.36864,1.94882,0.0
175,400,31,31,-33.9,0.9169,0,1,32,1.50159,2.00916,1.50105,2.17206,1.97042,0.0
176,400,31,31,-30.45,0.9164,0,1,32,1.46171,2.11776,1.45355,2.19456,1.90964,0.0
177,400,12,13,-49.75,0.9159,0,1,32,1.5588,1.99776,1.54831,2.15551,1.99611,0.0
178,400,32,32,-18.5,0.9154,0,1,32,1.55672,2.00093,1.54666,2.20227,1.99946,0.0
179,400,16,16,-39.2,0.915,0,1,32,1.54271,2.00856,1.54043,2.29094,1.98981,0.0
180,400,25,25,-29.75,0.9145,0,1,32,1.5374,2.07898,1.52659,2.19851,1.97336,0.0
181,400,27,27,-24.2,0.914,0,1,32,1.49948,2.00338,1.50224,2.12039,1.94235,0.0
182,400,25,25,-36.5,0.9135,0,1,32,1.47834,2.01477,1.48209,2.16945,1.93336,0.0
183,400,23,23,-35.35,0.9131,0,1,32,1.49151,1.93774,1.49635,2.26895,1.94656,0.0
