episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
197,400,21,21,-45.25,0.9064,0,1,32,1.40845,1.95228,1.40016,2.0643,1.85616,0.0
198,400,37,37,-24.25,0.906,0,1,32,1.39757,1.96456,1.3274,2.11894,1.84948,0.0
199,400,30,30,-25.95,0.9055,0,1,32,1.39901,1.98093,1.34926,2.06445,1.84916,0.0
200,400,27,27,-35.5,0.905,0,1,32,1.38826,1.98059,1.35351,2.10769,1.84379,0.0
201,400,25,25,-31.2,0.9045,0,1,32,1.39096,1.97857,1.36069,2.04165,1.8448,0.0
202,400,28,28,-32.9,0.9041,0,1,32,1.37721,1.99204,1.35487,2.07242,1.83419,0.0
203,400,28,28,-33.45,0.9036,0,1,32,1.38056,1.96397,1.36784,2.10978,1.83518,0.0
204,400,17,17,-38.75,0.9031,0,1,32,1.336,1.98168,1.38636,2.16645,1.85991,0.0
205,400,29,29,-34.65,0.9026,0,1,32,1.37164,1.99033,1.40128,2.26932,1.79861,0.0
206,400,31,31,-30.8,0.9022,0,1,32,1.46336,1.98968,1.47225,2.2606,1.9,0.0
207,400,25,25,-30.7,0.9017,0,1,32,1.4991,2.02201,1.49757,2.297,1.93335,0.0
208,400,19,19,-44.55,0.9012,0,1,32,1.50421,2.02302,1.5042,2.2162,1.93819,0.0
209,400,25,25,-34.65,0.9007,0,1,32,1.50067,2.02199,1.4951,2.19669,1.93633,0.0
210,400,34,34,-27.1,0.9002,0,1,32,1.49893,2.01945,1.49339,2.22032,1.93486,0.0
211,400,26,26,-30.2,0.8998,0,1,32,1.4946,2.01958,1.48964,2.18573,1.93558,0.0
212,400,31,31,-35.5,0.8993,0,1,32,1.48439,2.02465,1.48138,2.19194,1.92718,0.0
213,400,30,30,-26.1,0.8988,0,1,32,1.48009,2.0374,1.4782,2.18904,1.92573,0.0
214,400,26,27,-29.85,0.8983,0,1,32,1.46852,2.03841,1.46411,2.15917,1.91466,0.0
