timestamp,exp_id,tag,mode,agent,opponents,scenario,seeds,rounds_per_seed,mean_score,score_std,score_margin,score_margin_std,mean_coins,coins_std,mean_kills,kills_std,suicide_rate,suicide_std,mean_bombs,mean_crates,win_rate,draw_rate,survival_rate,mean_steps,invalid_action_rate,mean_think_time,wall_seconds,note
2026-08-13 00:34:42,p2_visit2k_seed10,p2_visit2k_seed10,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,124.03,0.00047031632132011074,0.00010277662105755604,19.698628187179565,visit-count step size decay
2026-08-13 00:42:39,p2_const4k_seed1,p2_const4k_seed1,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0006059953136362412,5.575612300963318e-05,10.377159833908081,"constant alpha, doubled training"
2026-08-13 00:42:50,p2_const4k_seed2,p2_const4k_seed2,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,5.7515520357148755e-05,10.691611051559448,"constant alpha, doubled training"
2026-08-13 00:43:01,p2_const4k_seed3,p2_const4k_seed3,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,5.824489023803031e-05,10.817131996154785,"constant alpha, doubled training"
2026-08-13 00:43:17,p2_const4k_seed4,p2_const4k_seed4,fast,tabular_q,solo,coin-heaven,30,20,37.184999999999995,3.3973404912950818,37.184999999999995,3.3973404912950818,37.184999999999995,3.3973404912950818,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,320.925,0.0,5.569644230732169e-05,16.751291275024414,"constant alpha, doubled training"
2026-08-13 00:43:28,p2_const4k_seed5,p2_const4k_seed5,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,6.149508276347625e-05,11.175932884216309,"constant alpha, doubled training"
2026-08-13 00:43:40,p2_const4k_seed6,p2_const4k_seed6,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,6.472282943411196e-05,11.961058139801025,"constant alpha, doubled training"
2026-08-13 00:43:52,p2_const4k_seed7,p2_const4k_seed7,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,6.398699324632328e-05,11.486761093139648,"constant alpha, doubled training"
2026-08-13 00:44:03,p2_const4k_seed8,p2_const4k_seed8,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,6.428932038500113e-05,11.566720008850098,"constant alpha, doubled training"
2026-08-13 00:44:15,p2_const4k_seed9,p2_const4k_seed9,fast,tabular_q,solo,coin-heaven,30,20,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,123.76333333333334,0.0,6.412857454507413e-05,11.564224004745483,"constant alpha, doubled training"
